id,twitterIdStr,userIdStr,retweetsCount,favoritesCount,clicksCount,viralImpactsCount,messageHasLocation,messageIsDirect,messageHasMedia,messageIsSensitive,messageTextLength,messageWordsCount,messageHashtagsCount,messageMentionsCount,messageUrlsCount,messageMediaCount,userKloutScore,userFollowersCount,userFriendsCount,userListedCount,userFavoritesCount,userStatusesCount,userDescriptionLength,userAccountAge,userHasLocation,userDefaultProfile,userDefaultProfileImage,userVerified,userTweetsPerDay,userFollowFriendRatio,userFriendFollowRatio,postHourOfDay,postDayOfWeek,postActivity
1939,572400836019527682,2953717996,0,0,1,0,0,0,0,0,136,35,0,0,1,0,45.38,374,696,4,2,13287,21,61,0,1,0,0,217.82,0.54,1.86,9,1,0.5063
1941,572400825609289728,2953717996,0,0,1,0,0,0,0,0,136,33,0,0,1,0,45.38,374,696,4,2,13286,21,61,0,1,0,0,217.80,0.54,1.86,9,1,0.5063
1942,572400817442963457,84392168,0,0,1,0,0,0,0,0,136,21,0,0,1,0,48.05,5444,3,90,0,18898,0,1957,1,0,0,0,9.66,1814.67,0.00,11,1,0.5000
1944,572400792843382787,272475170,0,1,0,0,0,0,0,0,89,10,1,0,1,0,43.71,4863,40,79,0,118200,42,1437,1,0,0,0,82.25,121.58,0.01,11,1,0.5000
1945,572400858912198657,101794805,0,0,13,0,0,0,0,0,76,11,1,0,1,0,43.58,10342,70,383,20,150116,105,1883,1,0,0,0,79.72,147.74,0.01,9,1,0.5063
1946,572400804033789952,2597599040,0,1,0,0,0,0,0,0,92,10,3,0,1,0,54.79,640,25,71,0,133409,139,244,1,0,0,0,546.76,25.60,0.04,22,1,0.3544
1948,572400867380494336,229494070,0,0,2,0,0,0,0,0,64,9,0,0,1,0,32.87,1176,646,0,35,18256,98,1531,1,0,0,0,11.92,1.82,0.55,6,1,0.3354
1956,572400890843275264,219385404,0,0,1,0,0,0,0,0,136,16,0,0,1,0,55.05,10029,1065,96,18685,470751,157,1559,1,0,0,0,301.96,9.42,0.11,15,1,0.5316
1957,572400915732303872,1175451883,0,0,1,0,0,0,0,0,107,14,3,0,1,0,45.04,525,218,15,59,68017,14,747,1,1,0,0,91.05,2.41,0.42,4,1,0.1329
1961,572400917426798592,396601079,0,0,1,0,0,0,0,0,136,21,0,0,1,0,59.50,161440,120072,170,408,133509,102,1226,1,0,0,0,108.90,1.34,0.74,8,1,0.3987
